1;Doing other things
100;Swiping Right
1000;Swiping Left
100004;Swiping Down
100008;Doing other things
100009;Zooming In
100012;Swiping Left
100018;Doing other things
100019;Zooming Out
10002;Swiping Left
100020;Swiping Left
100023;Doing other things
100025;Doing other things
100028;Swiping Right
10003;Swiping Left
100031;Swiping Right
100032;Swiping Right
100039;Swiping Right
100040;Swiping Left
100042;Swiping Right
100044;Swiping Down
100045;Zooming In
100049;Doing other things
100050;Zooming Out
100051;Swiping Up
100052;Doing other things
100057;Swiping Down
100060;Zooming In
100061;Swiping Up
100064;Doing other things
100065;Swiping Down
10007;Swiping Left
100070;Swiping Left
100071;Zooming Out
100072;Zooming Out
100073;Swiping Up
100076;Swiping Right
10008;Doing other things
100080;Swiping Right
100082;Swiping Up
100085;Swiping Up
100088;Zooming In
100089;Swiping Up
10009;Swiping Down
100092;Swiping Down
100094;Zooming Out
100096;Zooming In
10010;Doing other things
100100;Swiping Right
100101;Swiping Left
100104;Zooming Out
100106;Swiping Right
100107;Swiping Down
100110;Swiping Down
100112;Swiping Down
100113;Zooming In
100114;Zooming Out
100115;Zooming Out
100117;Doing other things
100119;Zooming In
100121;Zooming In
100129;Swiping Left
10013;Swiping Right
100130;Swiping Right
100134;Swiping Left
100136;Zooming Out
100137;Swiping Left
100138;Zooming In
100140;Doing other things
100143;Doing other things
100144;Swiping Right
100146;Doing other things
10015;Swiping Right
100150;Swiping Left
100152;Swiping Right
100154;Zooming In
100158;Zooming Out
100159;Doing other things
100160;Swiping Right
100161;Zooming Out
100163;Doing other things
100164;Doing other things
100165;Swiping Right
100166;Doing other things
100171;Zooming In
100172;Doing other things
100173;Swiping Left
100178;Doing other things
100180;Zooming In
100184;Doing other things
100186;Swiping Right
100187;Swiping Down
100188;Zooming Out
100189;Doing other things
100190;Swiping Up
100195;Doing other things
100197;Zooming In
1002;Zooming Out
100200;Swiping Right
100203;Swiping Down
100206;Zooming In
100210;Swiping Up
100211;Swiping Up
100212;Doing other things
100216;Swiping Left
100219;Swiping Down
10022;Zooming Out
100224;Swiping Left
100230;Swiping Right
100231;Swiping Right
100233;Swiping Up
100242;Doing other things
100243;Zooming Out
100247;Swiping Left
100248;Swiping Left
100250;Swiping Down
100251;Swiping Down
100256;Doing other things
100258;Doing other things
100262;Doing other things
100266;Zooming In
100267;Swiping Left
100269;Swiping Up
100270;Doing other things
100271;Swiping Right
100273;Zooming In
100277;Doing other things
100278;Zooming Out
100279;Doing other things
100280;Swiping Up
100281;Swiping Down
100282;Swiping Up
100286;Swiping Up
100288;Swiping Left
100289;Zooming Out
100290;Swiping Up
100293;Swiping Left
100294;Doing other things
100296;Doing other things
100297;Swiping Up
100298;Swiping Up
1003;Swiping Left
100300;Swiping Right
100303;Swiping Right
100304;Doing other things
100305;Zooming In
100306;Swiping Left
10031;Swiping Down
100312;Doing other things
100313;Swiping Down
100315;Swiping Down
100316;Swiping Up
100319;Swiping Up
100323;Doing other things
100324;Zooming Out
100325;Zooming Out
100327;Zooming Out
100330;Swiping Down
100331;Zooming In
100334;Doing other things
100335;Swiping Up
100338;Zooming Out
10034;Swiping Up
100342;Doing other things
100343;Zooming In
100345;Doing other things
100347;Zooming Out
100348;Swiping Right
10035;Zooming Out
100350;Doing other things
100354;Swiping Right
100355;Doing other things
100356;Swiping Up
100358;Swiping Right
100359;Doing other things
100360;Swiping Right
100361;Doing other things
100363;Doing other things
100364;Doing other things
100366;Zooming Out
100367;Swiping Right
100369;Zooming In
100372;Zooming In
100376;Swiping Right
100378;Swiping Down
10038;Doing other things
100380;Swiping Right
100386;Swiping Left
100388;Swiping Left
100389;Zooming Out
100390;Swiping Up
100392;Swiping Left
100393;Doing other things
100394;Doing other things
100398;Swiping Down
100406;Zooming Out
100407;Swiping Left
100408;Doing other things
100416;Zooming In
100417;Swiping Right
100418;Doing other things
10042;Swiping Up
100426;Zooming Out
10043;Zooming Out
100430;Swiping Up
100435;Swiping Down
100436;Zooming Out
100437;Swiping Up
10044;Doing other things
100440;Swiping Left
100441;Zooming Out
100446;Zooming In
100449;Swiping Left
100450;Swiping Right
100451;Doing other things
100452;Zooming In
100453;Swiping Right
100454;Zooming In
100455;Doing other things
100457;Swiping Left
100458;Swiping Down
100461;Swiping Up
100466;Doing other things
100467;Swiping Left
100469;Doing other things
100470;Swiping Right
100471;Swiping Right
100475;Swiping Down
100476;Swiping Right
100478;Zooming Out
100485;Swiping Right
100486;Zooming Out
100487;Swiping Up
100488;Swiping Down
100489;Doing other things
100492;Swiping Left
100493;Swiping Up
100496;Zooming Out
100498;Zooming In
100499;Swiping Right
100500;Swiping Left
100501;Swiping Down
100503;Zooming In
100507;Swiping Right
100508;Doing other things
100511;Doing other things
100512;Swiping Left
100513;Swiping Right
100514;Swiping Up
100520;Zooming Out
100525;Swiping Down
100529;Swiping Left
100532;Swiping Right
100535;Doing other things
100537;Swiping Up
100538;Zooming In
100540;Zooming Out
100542;Swiping Left
100544;Swiping Up
